,response,context 4,context 3,context 2,context 1,context 0,disease
2450,You're welcome. Let me know if you have any more questions.,"Thank you for the information, Medi.","Research is ongoing, and there is hope for the development of better treatments and a potential cure for hepatitis D in the future.",Is there any hope for a cure in the future?,"Treatment options for hepatitis D are unfortunately limited and effective treatments are lacking. Interferon alpha has shown temporary effectiveness in inhibiting viral activity, but it is not a long-term solution.","Hello, Medi. Can you explain the treatment options for hepatitis D?",Hepatitis
1503,"You're welcome! If you have any more questions, feel free to ask.","Thank you for the information, Medi.","The main risk factor for developing radiation-induced heart disease is undergoing radiation therapy for cancer, particularly in the chest area.",Are there any specific risk factors for developing radiation-induced heart disease?,"Symptoms of radiation-induced heart disease can include cardiomyopathy, myocardial fibrosis, valvular heart disease, coronary artery disease, heart arrhythmia, and peripheral artery disease.","Medi, what are the symptoms of radiation-induced heart disease?",Cardiovascular_disease
6401,"You're welcome! Remember, taking care of your mental well-being is just as important as your physical health.","Thank you for the advice, Medi.","To manage stress and prevent weight gain, it is important to engage in stress-reducing activities such as meditation, exercise, and seeking support from friends and family.",What are some strategies to manage stress and prevent weight gain?,"Yes, stress can contribute to weight gain and obesity. Increased stress levels can lead to emotional eating and a disrupted metabolism.","Medi, is there a connection between stress and obesity?",Obesity
3054,You're welcome! Let me know if you have any more questions.,"Thank you for the information, Medi.","Yes, the genotypes are divided into several subtypes, with the number of subtypes depending on the genotype.",Do the genotypes have any subtypes?,"There are seven major genotypes of HCV, known as genotypes one to seven.","Medi, what are the different genotypes of HCV?",Hepatitis_C
4114,You're welcome! Don't hesitate to reach out if you have any further questions.,"Thank you for the information, Medi. It's good to know.","Certainly! Research has shown that there is a genetic component to IBD, and more than 200 single nucleotide polymorphisms have been associated with susceptibility to the disease.",Can you explain the role of genetics in IBD?,Hello there! How can I assist you today?,"Hi, Medi.",Inflammatory_bowel_disease
6741,You're welcome. Take care and let me know if you have any more questions.,"Thank you for your advice, Medi. I'll make sure to see a doctor.","Pneumonia can be a serious condition, especially in vulnerable populations. It's important to receive medical attention and follow the prescribed treatment.",Should I be worried? Is pneumonia serious?,"Based on your symptoms, it's possible you have pneumonia. It's important to consult a doctor for a proper diagnosis.","I'm feeling really sick. I have a dry cough, chest pain, and difficulty breathing.",Pneumonia
1700,You're welcome. Take care and let me know if you need any further assistance.,"Thank you, Medi. I'll make sure to get plenty of rest.",A common cold typically lasts for about 7 to 10 days. It's important to rest and take care of yourself during this time.,How long does a common cold usually last?,"Fatigue and headache can be symptoms of a viral upper respiratory tract infection, such as the common cold.","Medi, I've been feeling tired and have a headache. Could it be a cold?",Common_cold
1701,You're welcome! Let me know if you have any more questions.,"Thank you for the information, Medi.","Treatment for respiratory syncytial virus is mainly supportive, with measures to relieve symptoms and maintain hydration.",Is there a specific treatment for respiratory syncytial virus?,"The symptoms of respiratory syncytial virus include cough, runny nose, fever, and difficulty breathing.","Medi, what are the symptoms of respiratory syncytial virus?",Common_cold
5885,"Absolutely. Together, we can make a difference in how mental health is perceived and treated.",I agree. Mental health should not be stigmatized. Let's spread awareness.,You're welcome. It's important to challenge misconceptions and promote accurate understanding of mental health.,"That's reassuring to know. Thank you for the clarification, Medi.","No, severe mental illness does not independently predict future violent behavior. Factors such as substance use and socioeconomic factors contribute more significantly to violence.","Medi, are people with mental illness more prone to violence?",Mental_illness
4042,You're welcome! Let me know if you have any more questions.,"Thanks for the clarification, Medi.","Examples of diseases that can spread through the air include influenza, tuberculosis, and COVID-19.",What are some examples of diseases that can spread through the air?,"No, diseases can also spread through indirect contact, such as contaminated surfaces or through the air.","Hey Medi, do diseases only spread through direct contact?",Infectious_diseases
4074,You're welcome! Let me know if you have any more questions.,"Thank you for the information, Medi.","Yes, adopting diets supported by evidence and monitoring for the resolution of inflammation can help reduce the symptoms of inflammatory bowel disease.",Is there any way to reduce the symptoms of inflammatory bowel disease?,"The symptoms of inflammatory bowel disease include abdominal pain, diarrhea, rectal bleeding, severe muscle spasms, and weight loss.","Medi, what are the symptoms of inflammatory bowel disease?",Inflammatory_bowel_disease
82,You're welcome! Let me know if you have any more questions.,"Got it. Thanks for clarifying, Medi!","The Holter monitor is a portable device that you wear while going about your daily activities. It records your heart's electrical activity continuously, allowing us to detect any abnormalities.",That sounds interesting. How does it work exactly?,Of course! A Holter monitor is an EKG recorded over a 24-hour period to detect arrhythmias that may happen throughout the day. It's a useful diagnostic tool.,"Hey Medi, can you explain what a Holter monitor is?",Arrhythmia
